"date","observed"
"2018-09-15T08:10:00.00Z",13964871
"2018-09-15T08:11:00.00Z",15442333
"2018-09-15T08:12:00.00Z",15102500
"2018-09-15T08:13:00.00Z",13305893
"2018-09-15T08:14:00.00Z",19591124
"2018-09-15T08:15:00.00Z",14145579
"2018-09-15T08:16:00.00Z",20778270
"2018-09-15T08:17:00.00Z",15566250
"2018-09-15T08:18:00.00Z",16701130
"2018-09-15T08:19:00.00Z",21874358
"2018-09-15T08:20:00.00Z",11951500
"2018-09-15T08:21:00.00Z",19002846
"2018-09-15T08:22:00.00Z",13112783
"2018-09-15T08:23:00.00Z",20129388
"2018-09-15T08:24:00.00Z",21474888
"2018-09-15T08:25:00.00Z",16481500
"2018-09-15T08:26:00.00Z",18810304
"2018-09-15T08:27:00.00Z",15346545
"2018-09-15T08:28:00.00Z",15939308
"2018-09-15T08:29:00.00Z",11648300
"2018-09-15T08:30:00.00Z",17997326
"2018-09-15T08:31:00.00Z",23531388
"2018-09-15T08:32:00.00Z",13806960
"2018-09-15T08:33:00.00Z",15743690
"2018-09-15T08:34:00.00Z",15983483
"2018-09-15T08:35:00.00Z",16541424
"2018-09-15T08:36:00.00Z",11281118
"2018-09-15T08:37:00.00Z",14294667
"2018-09-15T08:38:00.00Z",20000370
"2018-09-15T08:39:00.00Z",20104176
"2018-09-15T08:40:00.00Z",13270481
"2018-09-15T08:41:00.00Z",17533438
"2018-09-15T08:42:00.00Z",14686864
"2018-09-15T08:43:00.00Z",12010111
"2018-09-15T08:44:00.00Z",20032500
"2018-09-15T08:45:00.00Z",13532684
"2018-09-15T08:46:00.00Z",18424434
"2018-09-15T08:47:00.00Z",15503759
"2018-09-15T08:48:00.00Z",13418278
"2018-09-15T08:49:00.00Z",14458593
"2018-09-15T08:50:00.00Z",18440608
"2018-09-15T08:51:00.00Z",13840444
"2018-09-15T08:52:00.00Z",16007522
"2018-09-15T08:53:00.00Z",14837815
"2018-09-15T08:54:00.00Z",18222724
"2018-09-15T08:55:00.00Z",17957346
"2018-09-15T08:56:00.00Z",13513963
"2018-09-15T08:57:00.00Z",15023429
"2018-09-15T08:58:00.00Z",18063388
"2018-09-15T08:59:00.00Z",15090345
"2018-09-15T09:00:00.00Z",17299264
"2018-09-15T09:01:00.00Z",15326577
"2018-09-15T09:02:00.00Z",15559343
"2018-09-15T09:03:00.00Z",11961667
"2018-09-15T09:04:00.00Z",18126556
"2018-09-15T09:05:00.00Z",15330833
"2018-09-15T09:06:00.00Z",11315000
"2018-09-15T09:07:00.00Z",20261066
"2018-09-15T09:08:00.00Z",14335250
"2018-09-15T09:09:00.00Z",11828632
"2018-09-15T09:10:00.00Z",14340565
"2018-09-15T09:11:00.00Z",12614429
"2018-09-15T09:12:00.00Z",16245000
"2018-09-15T09:13:00.00Z",14031867
"2018-09-15T09:14:00.00Z",16264794
"2018-09-15T09:15:00.00Z",20523680
"2018-09-15T09:16:00.00Z",17960838
"2018-09-15T09:17:00.00Z",16231864
"2018-09-15T09:18:00.00Z",15422957
"2018-09-15T09:19:00.00Z",16155625
"2018-09-15T09:20:00.00Z",18032678
"2018-09-15T09:21:00.00Z",19822500
"2018-09-15T09:22:00.00Z",18109680
"2018-09-15T09:23:00.00Z",13174938
"2018-09-15T09:24:00.00Z",12311094
"2018-09-15T09:25:00.00Z",17644294
"2018-09-15T09:26:00.00Z",14443900
"2018-09-15T09:27:00.00Z",14210441
"2018-09-15T09:28:00.00Z",10635080
"2018-09-15T09:29:00.00Z",11427130
"2018-09-15T09:30:00.00Z",9916480
"2018-09-15T09:31:00.00Z",11293550
"2018-09-15T09:32:00.00Z",21630678
"2018-09-15T09:33:00.00Z",14768576
"2018-09-15T09:34:00.00Z",12378211
"2018-09-15T09:35:00.00Z",17370394
"2018-09-15T09:36:00.00Z",13812651
"2018-09-15T09:37:00.00Z",13326571
"2018-09-15T09:38:00.00Z",13981960
"2018-09-15T09:39:00.00Z",16816532
"2018-09-15T09:40:00.00Z",13060870
"2018-09-15T09:41:00.00Z",14833433
"2018-09-15T09:42:00.00Z",15329862
"2018-09-15T09:43:00.00Z",20802794
"2018-09-15T09:44:00.00Z",15540167
"2018-09-15T09:45:00.00Z",20871210
"2018-09-15T09:46:00.00Z",18353710
"2018-09-15T09:47:00.00Z",17073186
"2018-09-15T09:48:00.00Z",12658885
"2018-09-15T09:49:00.00Z",12856611
"2018-09-15T09:50:00.00Z",15170300
"2018-09-15T09:51:00.00Z",17848524
"2018-09-15T09:52:00.00Z",18112522
"2018-09-15T09:53:00.00Z",16831648
"2018-09-15T09:54:00.00Z",20398718
"2018-09-15T09:55:00.00Z",17402910
"2018-09-15T09:56:00.00Z",26528228
"2018-09-15T09:57:00.00Z",14889133
"2018-09-15T09:58:00.00Z",18896714
"2018-09-15T09:59:00.00Z",15420172
"2018-09-15T10:00:00.00Z",17096138
"2018-09-15T10:01:00.00Z",12962778
"2018-09-15T10:02:00.00Z",16982400
"2018-09-15T10:03:00.00Z",13513167
"2018-09-15T10:04:00.00Z",14283611
"2018-09-15T10:05:00.00Z",13032065
"2018-09-15T10:06:00.00Z",16913634
"2018-09-15T10:07:00.00Z",19564950
"2018-09-15T10:08:00.00Z",13004176
"2018-09-15T10:09:00.00Z",13609500
"2018-09-15T10:10:00.00Z",10749143
"2018-09-15T10:11:00.00Z",18339666
"2018-09-15T10:12:00.00Z",16388760
"2018-09-15T10:13:00.00Z",17608050
"2018-09-15T10:14:00.00Z",13537036
"2018-09-15T10:15:00.00Z",16012677
"2018-09-15T10:16:00.00Z",14744258
"2018-09-15T10:17:00.00Z",19203124
"2018-09-15T10:18:00.00Z",17217828
"2018-09-15T10:19:00.00Z",19084400
"2018-09-15T10:20:00.00Z",15853686
"2018-09-15T10:21:00.00Z",16422857
"2018-09-15T10:22:00.00Z",22316968
"2018-09-15T10:23:00.00Z",17900458
"2018-09-15T10:24:00.00Z",14350316
"2018-09-15T10:25:00.00Z",13547842
"2018-09-15T10:26:00.00Z",17198462
"2018-09-15T10:27:00.00Z",18702364
"2018-09-15T10:28:00.00Z",16795516
"2018-09-15T10:29:00.00Z",16488850
"2018-09-15T10:30:00.00Z",16946040
"2018-09-15T10:31:00.00Z",16630885
"2018-09-15T10:32:00.00Z",13759829
"2018-09-15T10:33:00.00Z",17418932
"2018-09-15T10:34:00.00Z",14059929
"2018-09-15T10:35:00.00Z",18975344
"2018-09-15T10:36:00.00Z",14518167
"2018-09-15T10:37:00.00Z",19902878
"2018-09-15T10:38:00.00Z",16908858
"2018-09-15T10:39:00.00Z",15160742
"2018-09-15T10:40:00.00Z",16966710
"2018-09-15T10:41:00.00Z",12164400
"2018-09-15T10:42:00.00Z",13100515
"2018-09-15T10:43:00.00Z",17403438
"2018-09-15T10:44:00.00Z",15682094
"2018-09-15T10:45:00.00Z",15865464
"2018-09-15T10:46:00.00Z",15320793
"2018-09-15T10:47:00.00Z",15301056
"2018-09-15T10:48:00.00Z",10200583
"2018-09-15T10:49:00.00Z",15907636
"2018-09-15T10:50:00.00Z",20386270
"2018-09-15T10:51:00.00Z",17241400
"2018-09-15T10:52:00.00Z",16056828
"2018-09-15T10:53:00.00Z",13460360
"2018-09-15T10:54:00.00Z",17361142
"2018-09-15T10:55:00.00Z",16684043
"2018-09-15T10:56:00.00Z",16500739
"2018-09-15T10:57:00.00Z",20625066
"2018-09-15T10:58:00.00Z",20006750
"2018-09-15T10:59:00.00Z",21679366
"2018-09-15T11:00:00.00Z",18919238
"2018-09-15T11:01:00.00Z",13151129
"2018-09-15T11:02:00.00Z",15738417
"2018-09-15T11:03:00.00Z",13204789
"2018-09-15T11:04:00.00Z",21514346
"2018-09-15T11:05:00.00Z",11622206
"2018-09-15T11:06:00.00Z",17035924
"2018-09-15T11:07:00.00Z",14473708
"2018-09-15T11:08:00.00Z",15357955
"2018-09-15T11:09:00.00Z",15935556
"2018-09-15T11:10:00.00Z",17769636
"2018-09-15T11:11:00.00Z",11381850
"2018-09-15T11:12:00.00Z",13394333
"2018-09-15T11:13:00.00Z",10129167
"2018-09-15T11:14:00.00Z",11794000
"2018-09-15T11:15:00.00Z",17027974
"2018-09-15T11:16:00.00Z",17646064
"2018-09-15T11:17:00.00Z",13877130
"2018-09-15T11:18:00.00Z",11071583
"2018-09-15T11:19:00.00Z",14518632
"2018-09-15T11:20:00.00Z",12582593
"2018-09-15T11:21:00.00Z",16857280
"2018-09-15T11:22:00.00Z",14109375
"2018-09-15T11:23:00.00Z",20337666
"2018-09-15T11:24:00.00Z",14706167
"2018-09-15T11:25:00.00Z",13629778
"2018-09-15T11:26:00.00Z",13101467
"2018-09-15T11:27:00.00Z",15475296
"2018-09-15T11:28:00.00Z",16293704
"2018-09-15T11:29:00.00Z",14085741
"2018-09-15T11:30:00.00Z",14254278
"2018-09-15T11:31:00.00Z",14185350
"2018-09-15T11:32:00.00Z",15730571
"2018-09-15T11:33:00.00Z",16400030
"2018-09-15T11:34:00.00Z",16712767
"2018-09-15T11:35:00.00Z",16655955
"2018-09-15T11:36:00.00Z",18614250
"2018-09-15T11:37:00.00Z",15813481
"2018-09-15T11:38:00.00Z",21192178
"2018-09-15T11:39:00.00Z",13917560
"2018-09-15T11:40:00.00Z",12087647
"2018-09-15T11:41:00.00Z",13786769
"2018-09-15T11:42:00.00Z",18740750
"2018-09-15T11:43:00.00Z",22009932
"2018-09-15T11:44:00.00Z",10659346
"2018-09-15T11:45:00.00Z",18355848
"2018-09-15T11:46:00.00Z",16622724
"2018-09-15T11:47:00.00Z",16301061
"2018-09-15T11:48:00.00Z",14378342
"2018-09-15T11:49:00.00Z",13753172
"2018-09-15T11:50:00.00Z",20827846
"2018-09-15T11:51:00.00Z",15158917
"2018-09-15T11:52:00.00Z",17080000
"2018-09-15T11:53:00.00Z",21699118
"2018-09-15T11:54:00.00Z",10485895
"2018-09-15T11:55:00.00Z",23136318
"2018-09-15T11:56:00.00Z",12990848
"2018-09-15T11:57:00.00Z",19817696
"2018-09-15T11:58:00.00Z",15263000
"2018-09-15T11:59:00.00Z",11713613
"2018-09-15T12:00:00.00Z",16916538
"2018-09-15T12:01:00.00Z",14252395
"2018-09-15T12:02:00.00Z",17844450
"2018-09-15T12:03:00.00Z",14695848
"2018-09-15T12:04:00.00Z",15194688
"2018-09-15T12:05:00.00Z",14757152
"2018-09-15T12:06:00.00Z",14702343
"2018-09-15T12:07:00.00Z",12738200
"2018-09-15T12:08:00.00Z",15790125
"2018-09-15T12:09:00.00Z",15203217
"2018-09-15T12:10:00.00Z",20344714
"2018-09-15T12:11:00.00Z",12600406
